"Category","Brand_Description","Price","Review_Count","Rating"
"Monitors"," Portable Monitor 15.6inch FHD 1080P USB C HDMI Gaming Ultra-Slim IPS Display w/Smart Cover & Speakers,HDR Plug&Play, External Monitor for Laptop PC Phone Mac Xbox (15.6'' 1080P)  Options:3 sizes4.6 out of 5 stars 4,786  5K+ bought in past month$98.97$98.97 List: $199.99$199.99Join Prime to buy this item at $77.99 FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$70.35(11 used & new offers)","98","4,786","4.6 out of 5 stars"
"Monitors"," Acer KC242Y Hbi 23.8"" Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | 100Hz | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports,Black  Options:6 sizes4.5 out of 5 stars 4,337  3K+ bought in past month$89.99$89.99 List: $117.99$117.99 FREE delivery Tue, Jan 30 More Buying Choices$89.09(7 used & new offers)","89","4,337","4.5 out of 5 stars"
"Monitors"," Dell S2421HS Full HD 1920 x 1080, 24-Inch 1080p LED, 75Hz, Desktop Monitor with Adjustable Stand, 4ms Grey-to-Grey Response Time, AMD FreeSync, IPS Technology, HDMI, DisplayPort, Silver, 24.0"" FHD  Options:2 sizes4.6 out of 5 stars 1,139  2K+ bought in past month$159.99$159.99 List: $179.99$179.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$91.51(27 used & new offers)","159","1,139","4.6 out of 5 stars"
"Monitors"," SAMSUNG 27"" CF39 Series FHD 1080p Curved Computer Monitor, Ultra Slim Design, AMD FreeSync, 4ms response, HDMI, DisplayPort, VESA Compatible, Wide Viewing Angle, LC27F398FWNXZA, Black  Options:2 sizes4.6 out of 5 stars 25,225  2K+ bought in past month$219.99$219.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$103.37(20 used & new offers)","219","25,225","4.6 out of 5 stars"
"Monitors"," Sceptre 22 inch 75Hz 1080P LED Monitor 99% sRGB HDMI X2 VGA Build-In Speakers, Machine Black (E225W-19203R series)  Options:3 sizes4.5 out of 5 stars 9,042  4K+ bought in past monthNo featured offers available$78.21(5 used & new offers)",NA,"9,042","4.5 out of 5 stars"
"Monitors"," SAMSUNG 27"" T35F Series FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, VGA (D-Sub), 3-Sided Border-Less, FreeSync, LF27T350FHNXZA  Options:2 sizes4.5 out of 5 stars 4,205  4K+ bought in past month$139.29$139.29 List: $219.99$219.99FREE delivery Fri, Jan 26 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$98.95(31 used & new offers)","139","4,205","4.5 out of 5 stars"
"Monitors"," Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms DCI-P3 95% 1 Display Port 1.2 & 2 HDMI 2.0 XV271U M3bmiiprx,Black  Options:2 sizes4.3 out of 5 stars 956  2K+ bought in past month$199.99$199.99 List: $289.99$289.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$157.99(7 used & new offers)","199","956","4.3 out of 5 stars"
"Monitors"," LG FHD 32-Inch Computer Monitor 32ML600M-B, IPS with HDR 10 Compatibility, Black  4.6 out of 5 stars 3,062  2K+ bought in past month$199.99$199.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$132.32(32 used & new offers)","199","3,062","4.6 out of 5 stars"
"Monitors"," Acer 27"" FHD 100Hz FreeSync Monitor with Height Adjustable Stand  Options:2 sizes4.6 out of 5 stars 15,415  2K+ bought in past month$129.99$129.99 List: $139.99$139.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) EPEATMore Buying Choices$121.91(2 used & new offers)","129","15,415","4.6 out of 5 stars"
"Monitors"," SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, DisplayPort, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T454FQNXGO),Black  Options:3 sizes4.5 out of 5 stars 1,999  2K+ bought in past month$158.00$158.00 List: $169.99$169.99FREE delivery Jan 30 - Feb 1 Or fastest delivery Jan 26 - 30 Only 2 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) TCO CertifiedMore Buying Choices$90.00(42 used & new offers)","158","1,999","4.5 out of 5 stars"
"Servers"," 832 Single Board Server Router X86 Single Board Computer Personal Cloud Network Attached Storage 4K Media Server Dual Gigabit Gateway - PCIe x4 SATA 6.0 Gb/s for HDD/SSD  4.3 out of 5 stars 190  50+ bought in past month$229.99$229.99 FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 More Buying Choices$207.20(2 used & new offers)","229.","190","4.3 out of 5 stars"
"Servers"," DellPowerEdge R530, R730, R730, R540, R740, R740XD, R820, R830, R7415, R7425 2U Ready Rail Kit - H4X6X  4.6 out of 5 stars 49  50+ bought in past month$78.00$78.00 List: $87.20$87.20 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$53.45(12 used & new offers)","78.","49","4.6 out of 5 stars"
"Servers"," TrueNAS Mini XL+ Compact ZFS Storage Server with 8 + 1 Drive Bays, 32GB RAM, Eight Core CPU, Dual 1/10 Gigabit Network (Diskless)  4.9 out of 5 stars 33  $1,649.00$1,649.00 FREE delivery Wed, Jan 31 Only 13 left in stock - order soon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","1,649.","33","4.9 out of 5 stars"
"Servers"," Dell T7810 “Chia Farming” Workstation/Server, 2X Intel Xeon E5-2690 v4 up to 3.5GHz (28 Cores & 56 Threads Total), 128GB DDR4, Quadro K620 2GB Graphics Card, No HDD, No Operating System (Renewed)  3.6 out of 5 stars 49  $520.64$520.64FREE delivery Jan 29 - 31 Only 3 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","520.","49","3.6 out of 5 stars"
"Servers"," DellPowerEdge R320, R420, R620, R330, R430, R630, R640 1U Ready Rail Kit - 81WCD  4.7 out of 5 stars 30  50+ bought in past month$85.00$85.00FREE delivery Jan 25 - 26 Only 18 left in stock - order soon.More Buying Choices$69.97(13 used & new offers)","85.","30","4.7 out of 5 stars"
"Servers"," RAISING ELECTRONICS1U Rack Mount Sliding Keyboard Tray Cantilever for Server Data Network Rack  4.0 out of 5 stars 67  $59.99$59.99 FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more More Buying Choices$52.40(3 used & new offers)","59.","67","4.0 out of 5 stars"
"Servers"," PowerEdge Dell R630 Server | 2X E5-2690 v4 = 28 Cores | 128GB RAM | 2X 1TB SSD (Renewed)  3.5 out of 5 stars 11  $424.52$424.52FREE delivery Thu, Feb 1 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","424.","11","3.5 out of 5 stars"
"Servers"," Enterprise Proliant DL380 G9 Server | 2X E5-2660v3 20 Cores | 192GB | P440 | 8X 600GB (Renewed)  4.7 out of 5 stars 23  $400.00$400.00FREE delivery Thu, Feb 1 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","400.","23","4.7 out of 5 stars"
"Servers"," Dell Precision 7910 / T7910 Tower - 2X Intel Xeon E5-2670 V3 12-Core 2.3Ghz - 64GB DDR4 REG - Nvidia Quadro K2000 2GB - 12.24TB (240gb SSD | 3X 4TB 12Gb/s SAS New) - 1300w PSU - (Renewed)  4.3 out of 5 stars 8  $525.77$525.77 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 11 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: ElectronicsMore Buying Choices$515.48(3 new offers)","525.","8","4.3 out of 5 stars"
"Servers"," Dell PowerEdge R730 Server | 2X E5-2680V3 2.50GHz = 24 Cores | 128GB | H730 | 36TB Storage (Renewed)  4.2 out of 5 stars 7  $573.91$573.91 FREE delivery Mon, Jan 29 Only 2 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","573.","7","4.2 out of 5 stars"
"Servers"," Dell PowerEdge R630 Server 2X E5-2640v3 2.60Ghz 16-Core 64GB 8X 300GB H730 (Renewed)  2.9 out of 5 stars 6  $324.70$324.70FREE delivery Jan 29 - 30 Or fastest delivery Fri, Jan 26 Only 9 left in stock - order soon.More Buying Choices$234.35(5 used & new offers)","324.","6","2.9 out of 5 stars"
"Servers"," HP Z440 Tower Server - Intel Xeon E5-2620 V3 2.4GHz 6 Core - 64GB DDR4 RAM - LSI 9217 4i4e SAS SATA Raid Card - New 1TB SSD Samsung - NVS 310 512MB - 525W PSU - Windows 10 PRO (Renewed)  4.2 out of 5 stars 11  $379.99$379.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 9 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","379.","11","4.2 out of 5 stars"
"Servers"," HP DL380 G9 Server / 2X E5-2670 V3 2.3GHz = 24 Cores / 128GB RAM / P840 / 12x 3TB SAS (Renewed)  4.2 out of 5 stars 21  $739.00$739.00 FREE delivery Mon, Jan 29 Only 8 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","739.","21","4.2 out of 5 stars"
"Servers"," HpeMicroServer Gen10 Plus iLO Enablement Kit  4.7 out of 5 stars 108  $35.99$35.99 Typical: $37.99$37.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 6 left in stock (more on the way).More Buying Choices$32.99(19 new offers)","35.","108","4.7 out of 5 stars"
"Servers"," Dell PowerEdge T320 Tower Server | 1X E5-2450 8 Cores | 32GB | H310 | 8TB Storage (Renewed)  3.8 out of 5 stars 8  $494.01$494.01 Typical price: $520.00$520.00FREE delivery Jan 29 - 31 Or fastest delivery Tomorrow, Jan 25 Only 9 left in stock - order soon.","494.","8","3.8 out of 5 stars"
"Servers"," BestPartsNew 1U Rack Sliding Ready Rail Kit Compatible with HP ProLiant DL360 Gen 8 Gen 9 Gen 10 DL360p Gen 8 Gen 9 Gen 10 DL360e Gen 8 Gen 9 Gen 10 SFF Server in Box  5.0 out of 5 stars 1  $118.99$118.99 FREE delivery Mon, Jan 29 Only 13 left in stock - order soon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","118.","1","5.0 out of 5 stars"
"Servers"," BestPartsNew 2U Sliding Rail Kit Compatible with HP ProLiant DL380 G9 G10 / DL380p G8 / DL388 G9 G10 Server in Box  5.0 out of 5 stars 4  $105.99$105.99 FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","105.","4","5.0 out of 5 stars"
"Servers"," HP High-End Virtualization Server 36-Core 768GB RAM 16TB DL360 G9 (Renewed)  Options:5 sizes4.3 out of 5 stars 30  $1,075.00$1,075.00 FREE delivery Mon, Jan 29 Only 10 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","1,075.","30","4.3 out of 5 stars"
"Servers"," Dell PowerEdge R630 Server 2X E5-2640v3 2.60Ghz 16-Core 64GB H330 (Renewed)  4.0 out of 5 stars 10  $280.30$280.30 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 15 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","280.","10","4.0 out of 5 stars"
"Servers"," Hewlett Packard EnterpriseHPE ProLiant ML110 G10 4.5U Tower Server - 1 x Intel Xeon Silver 4208 2.10 GHz - 16 GB RAM - Serial ATA/600 Controller  $1,247.00$1,247.00FREE delivery Wed, Jan 31 Or fastest delivery Jan 26 - 29 ","1,247.",NA,""
"Servers"," Dell PowerEdge R730XD Server | 2X E5-2680 V3 2.50GHz = 24 Cores | 256GB | H730 | 24x 600GB 10K SAS (Renewed)  3.9 out of 5 stars 5  $830.02$830.02 Typical price: $899.00$899.00FREE delivery Jan 31 - Feb 2 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","830.","5","3.9 out of 5 stars"
"Servers"," SFF Rails Rack Mount Rail kit 7 for HP ProLiant DL180 DL380 G9 Gen9 729870-002 Readrail Express  $90.00$90.00 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 ","90.",NA,""
"Servers"," MicrosoftWindows Server 2022 Standard | Base License with media and key | 16 Core  3.0 out of 5 stars 2  $832.77$832.77 List: $954.99$954.99FREE delivery Jan 29 - 31 ","832.","2","3.0 out of 5 stars"
"Servers"," HP Rail KIT - Rack rail kit - 1U - for ProLiant DL360p Gen8 (Renewed)  3.8 out of 5 stars 49  $69.00$69.00 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 ","69.","49","3.8 out of 5 stars"
"Headphones"," Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black  4.6 out of 5 stars 49,804  10K+ bought in past month$49.95$49.95 FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$44.95(13 used & new offers)","49","49,804","4.6 out of 5 stars"
"Headphones"," Sony WH-1000XM5 The Best Wireless Noise Canceling Headphones with Auto Noise Canceling Optimizer, Crystal Clear Hands-Free Calling, and Alexa Voice Control, Black  4.5 out of 5 stars 11,903  6K+ bought in past month$398.00$398.00 FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more More Buying Choices$211.93(78 used & new offers)","398","11,903","4.5 out of 5 stars"
"Headphones"," Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office  4.5 out of 5 stars 72,816  10K+ bought in past month$59.99$59.9920% coupon applied at checkoutSave 20%  with coupon  FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) TCO CertifiedMore Buying Choices$59.98(4 used & new offers)Price may vary by color","59","72,816","4.5 out of 5 stars"
"Headphones"," Tune Flex - True Wireless Noise Cancelling Earbuds (Black), Small  4.3 out of 5 stars 1,411  10K+ bought in past month$99.95$99.95FREE delivery Fri, Jan 26 ","99","1,411","4.3 out of 5 stars"
"Headphones"," HT2 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio Custom EQ via App Deep Bass Comfort Fit Ear Cups, for Home Office Travel  4.7 out of 5 stars 1,678  10K+ bought in past month$49.99$49.99 List: $79.99$79.99$10.00 coupon applied at checkoutSave $10.00  with coupon  FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certifications (2) Global Recycled Standard Recycled Claim Standard BlendedMore Buying Choices$29.57(18 used & new offers)","49","1,678","4.7 out of 5 stars"
"Headphones"," +1bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black  4.4 out of 5 stars 41,016  10K+ bought in past month$39.99$39.99 List: $58.99$58.9940% coupon applied at checkoutSave 40%  with coupon  FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$35.58(8 used & new offers)+  ","39","41,016","4.4 out of 5 stars"
"Headphones"," Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New  4.5 out of 5 stars 3,503  5K+ bought in past monthClick to see priceFREE deliveryOnly 15 left in stock - order soon.Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more Also available in White",NA,"3,503","4.5 out of 5 stars"
"Headphones"," NEW Bose QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up To 24 Hours of Battery Life, Black  4.5 out of 5 stars 903  4K+ bought in past month$349.00$349.00FREE delivery Fri, Jan 26 More Buying Choices$319.99(9 used & new offers)","349","903","4.5 out of 5 stars"
